theDate|stock_code|comp_code|net_Turnover_Net_Sales|EBITDA|EBIT|Net_Profit|Intangibles|Fixed_Assets|Long_Term_Investment|Stocks_Inventories|Cash|Current_Liabilities|Long_Term_Debt|Provisions|Minorities|Total_Shareholders_Equity|Operating_Margin|Return_on_Equity_Capital|Net_Profit_Margin|Current_Ratio|Debt_to_Capital_at_Book|crawl_Timestamp
30 Jun 2013| : 7052CW|PADINI-CW|789,765|139,510|117,342|85,393|6,673|88,281|735|143,838|206,226|116,618|16,791|3,904|0|372,226|15.15|24|10.81|3.54|0.07|2019-03-15 00:51:51
30 Jun 2011| : 7052CX|PADINI-CX|568,476|127,485|105,405|75,694|6,523|83,621|684|170,955|138,622|137,947|21,507|0|0|282,677|18.76|29.28|13.32|2.54|0.1|2019-03-15 00:51:51
30 Jun 2012| : 7052CX|PADINI-CX|726,112|149,995|129,698|95,305|7,179|93,190|684|192,285|137,612|120,541|19,209|3,709|0|339,413|18.22|30.64|13.13|3.15|0.1|2019-03-15 00:51:51
30 Jun 2013| : 7052CX|PADINI-CX|789,765|139,510|117,342|85,393|6,673|88,281|735|143,838|206,226|116,618|16,791|3,904|0|372,226|15.15|24|10.81|3.54|0.07|2019-03-15 00:51:51
30 Jun 2011| : 7052CY|PADINI-CY|568,476|127,485|105,405|75,694|6,523|83,621|684|170,955|138,622|137,947|21,507|0|0|282,677|18.76|29.28|13.32|2.54|0.1|2019-03-15 00:51:51
30 Jun 2012| : 7052CY|PADINI-CY|726,112|149,995|129,698|95,305|7,179|93,190|684|192,285|137,612|120,541|19,209|3,709|0|339,413|18.22|30.64|13.13|3.15|0.1|2019-03-15 00:51:51
30 Jun 2013| : 7052CY|PADINI-CY|789,765|139,510|117,342|85,393|6,673|88,281|735|143,838|206,226|116,618|16,791|3,904|0|372,226|15.15|24|10.81|3.54|0.07|2019-03-15 00:51:51
30 Jun 2011| : 7052CZ|PADINI-CZ|568,476|127,485|105,405|75,694|6,523|83,621|684|170,955|138,622|137,947|21,507|0|0|282,677|18.76|29.28|13.32|2.54|0.1|2019-03-15 00:51:51
30 Jun 2012| : 7052CZ|PADINI-CZ|726,112|149,995|129,698|95,305|7,179|93,190|684|192,285|137,612|120,541|19,209|3,709|0|339,413|18.22|30.64|13.13|3.15|0.1|2019-03-15 00:51:51
30 Jun 2013| : 7052CZ|PADINI-CZ|789,765|139,510|117,342|85,393|6,673|88,281|735|143,838|206,226|116,618|16,791|3,904|0|372,226|15.15|24|10.81|3.54|0.07|2019-03-15 00:51:51
31 Mar 2016| : 3719|PANAMY|1,086,735|186,045|162,762|146,900|0|62,030|151,282|43,844|601,514|206,797|0|193|0|779,103|17.04|19.62|13.52|3.68|0.01|2019-03-15 00:51:51
31 Mar 2017| : 3719|PANAMY|1,122,964|162,629|132,256|127,118|0|74,981|151,553|50,284|122,431|183,428|0|232|0|821,784|14.08|15.88|11.32|4.2|0.01|2019-03-15 00:51:51
31 Mar 2018| : 3719|PANAMY|1,199,120|-|-|131,025|0|97,185|131,859|50,331|650,610|189,197|0|261|0|881,736|13.87|-|10.93|4.41|-|2019-03-15 00:51:52
31 Mar 2016| : 8419|PANSAR|360,396|12,652|11,001|7,879|230|6,533|13,855|33,545|11,339|66,825|0|0|0|164,816|3.1|4.82|2.19|3.05|0.05|2019-03-15 00:51:52
31 Mar 2017| : 8419|PANSAR|358,896|12,586|8,825|4,879|294|4,425|12,232|41,975|12,838|72,082|0|0|0|165,710|2.44|2.95|1.36|2.95|0.08|2019-03-15 00:51:52
31 Mar 2018| : 8419|PANSAR|386,529|-|-|8,744|324|4,506|13,132|34,081|50,558|94,948|0|0|0|182,269|3.26|-|2.26|2.65|-|2019-03-15 00:51:52
31 Mar 2012| : 8419WA|PANSAR-WA|399,104|22,575|17,949|15,806|198|3,707|0|39,579|19,663|68,885|0|0|0|130,872|5.67|12.65|3.96|2.84|0.11|2019-03-15 00:51:52
31 Mar 2013| : 8419WA|PANSAR-WA|429,935|24,479|23,696|17,458|201|4,025|0|46,253|15,547|58,056|0|0|0|143,725|5.6|12.72|4.06|3.4|0.07|2019-03-15 00:51:52
31 Mar 2014| : 8419WA|PANSAR-WA|425,790|20,742|19,348|14,195|237|3,824|0|51,384|25,755|65,702|0|0|0|152,847|4.63|9.57|3.33|3.26|0.1|2019-03-15 00:51:52
29 Feb 2016| : 5125|PANTECH|513,293|72,214|57,227|37,972|1,282|199,755|29,875|253,368|76,951|164,565|36,710|0|0|509,270|11.97|7.78|7.4|2.86|0.22|2019-03-15 00:51:52
28 Feb 2017| : 5125|PANTECH|479,349|45,542|45,542|29,717|1,214|228,480|35,991|262,426|89,156|205,629|44,547|0|0|532,864|9.61|5.7|6.2|2.5|0.21|2019-03-15 00:51:52
28 Feb 2018| : 5125|PANTECH|614,771|-|-|47,127|1,198|225,218|35,197|276,095|70,223|190,499|35,279|0|0|553,454|10.98|-|7.67|2.73|-|2019-03-15 00:51:52
29 Feb 2012| : 5125WA|PANTECH-WA|434,604|61,347|53,713|34,233|0|135,063|23,928|199,502|102,333|187,542|48,157|0|77|337,152|12.91|10.46|7.88|2.3|0.32|2019-03-15 00:51:52
28 Feb 2013| : 5125WA|PANTECH-WA|635,663|100,910|89,806|56,066|716|178,687|24,780|259,177|79,153|235,366|69,789|0|0|377,019|14.56|15.7|8.82|2.09|0.36|2019-03-15 00:51:52
28 Feb 2014| : 5125WA|PANTECH-WA|575,610|98,590|82,055|54,637|1,206|196,853|30,654|251,210|62,107|192,460|58,174|227|0|426,230|14.8|13.6|9.49|2.36|0.28|2019-03-15 00:51:52
29 Feb 2012| : 5125WB|PANTECH-WB|434,604|61,347|53,713|34,233|0|135,063|23,928|199,502|102,333|187,542|48,157|0|77|337,152|12.91|10.46|7.88|2.3|0.32|2019-03-15 00:51:52
28 Feb 2013| : 5125WB|PANTECH-WB|635,663|100,910|89,806|56,066|716|178,687|24,780|259,177|79,153|235,366|69,789|0|0|377,019|14.56|15.7|8.82|2.09|0.36|2019-03-15 00:51:52
28 Feb 2014| : 5125WB|PANTECH-WB|575,610|98,590|82,055|54,637|1,206|196,853|30,654|251,210|62,107|192,460|58,174|227|0|426,230|14.8|13.6|9.49|2.36|0.28|2019-03-15 00:51:52
31 May 2016| : 5022|PAOS|74,102|4,454|1,238|3,457|0|43,230|0|5,526|18,286|7,640|0|0|0|100,652|7.35|3.44|4.67|5.6|0|2019-03-15 00:51:52
31 May 2017| : 5022|PAOS|237,447|4,718|1,463|1,854|0|41,336|0|4,832|10,035|5,818|0|0|0|99,547|1.1|1.85|0.78|7.26|0|2019-03-15 00:51:52
31 May 2018| : 5022|PAOS|279,529|-|-|855|0|39,290|0|5,471|9,530|5,958|0|0|0|98,952|0.55|-|0.31|7.38|-|2019-03-15 00:51:53
31 May 2011| : 5022WA|PAOS-WA|240,256|8,993|5,348|3,495|0|46,199|0|9,927|9,846|21,124|3,258|0|0|98,857|2.58|3.54|1.45|2.18|0.08|2019-03-15 00:51:53
31 May 2012| : 5022WA|PAOS-WA|261,215|5,963|2,809|2,184|0|45,012|0|6,637|6,914|10,953|0|0|0|98,022|1.53|2.22|0.84|3.08|0.04|2019-03-15 00:51:53
31 May 2013| : 5022WA|PAOS-WA|276,416|10,673|7,453|4,905|0|43,319|0|4,359|11,488|7,079|0|0|0|99,907|2.7|4.96|1.77|4.96|0.01|2019-03-15 00:51:53
31 Dec 2015| : 9407|PARAGON|67,291|5,969|3,222|889|0|30,220|0|27,621|830|29,961|999|0|0|37,661|4.82|2.39|1.32|1.41|0.24|2019-03-15 00:51:53
31 Dec 2016| : 9407|PARAGON|67,418|2,386|4,493|3,771|0|28,457|0|21,359|332|21,353|337|0|0|41,428|6.66|9.54|5.59|1.79|0.2|2019-03-15 00:51:53
31 Dec 2017| : 9407|PARAGON|53,702|-|-|-767|0|28,697|0|19,159|1,368|17,434|1,795|0|0|40,659|-0.42|-|-1.43|2.03|-|2019-03-15 00:51:53
31 Dec 2015| : 1724|PARAMON|576,034|120,767|101,406|67,681|15,674|435,089|10,493|126,662|149,644|377,484|447,430|0|0|1,090,623|18.64|6.63|11.75|1.19|0.28|2019-03-15 00:51:53
31 Dec 2016| : 1724|PARAMON|573,141|137,130|116,627|88,673|15,674|436,186|10,605|105,746|149,176|450,695|428,690|0|0|1,134,423|20.96|7.97|15.47|1.08|0.32|2019-03-15 00:51:53
31 Dec 2017| : 1724|PARAMON|758,325|-|-|146,688|163,822|624,924|10,217|208,483|141,409|515,580|662,662|0|0|1,311,575|26.51|-|19.34|1.32|-|2019-03-15 00:51:53
30 Jun 2016| : 5657|PARKSON|3,884,082|259,352|-10,615|-95,741|1,889,238|3,546,223|83,700|494,942|1,904,651|2,681,129|2,050,783|0|0|3,926,004|0.69|-2.37|-2.46|1.13|0.27|2019-03-15 00:51:53
30 Jun 2017| : 5657|PARKSON|3,964,024|307,636|309,693|-120,898|1,632,056|2,870,700|77,167|428,130|3,142,677|4,899,811|174,647|0|0|3,848,727|8.59|-3.11|-3.05|0.88|0.28|2019-03-15 00:51:53
30 Jun 2018| : 5657|PARKSON|3,981,735|-|-|-99,439|1,540,748|2,718,906|62,354|377,910|1,781,600|2,618,859|1,966,738|23,292|0|3,607,557|1.18|-|-2.5|1.18|-|2019-03-15 00:51:53
31 Dec 2015| : 0022|PARLO|2|-862|-862|-862|0|0|0|0|144|7,602|0|0|0|-7,458|-43100|12.27|-43100|0.02|0|2019-03-15 00:51:53
31 Dec 2016| : 0022|PARLO|0|-1,765|-1,765|-1,813|0|0|0|0|41|9,313|0|0|0|-9,271|-|21.67|-|0|0|2019-03-15 00:51:53
31 Dec 2017| : 0022|PARLO|0|-|-|1,517|0|0|0|0|165|8,186|0|0|0|-7,548|-|-|-|0.08|-|2019-03-15 00:51:53
31 Dec 2015| : 6912|PASDEC|156,653|-12,357|-18,010|-24,737|0|19,373|19,259|210,217|31,314|150,816|59,794|5,078|0|305,548|-11.95|-7.72|-15.79|2.17|0.23|2019-03-15 00:51:53
31 Dec 2016| : 6912|PASDEC|122,836|-8,073|-11,948|-22,757|0|21,926|19,985|212,660|28,276|162,951|46,597|3,619|0|276,949|-8.47|-7.81|-18.53|1.85|0.25|2019-03-15 00:51:53
31 Dec 2017| : 6912|PASDEC|115,447|-|-|4,675|0|43,374|20,610|218,054|12,157|222,265|17,619|3,608|0|322,304|12.63|-|4.05|1.36|-|2019-03-15 00:51:53
31 Dec 2011| : 6912WA|PASDEC-WA|97,264|4,427|2,255|-4,791|30,328|15,745|83,459|170,115|33,003|116,925|73,064|3,585|0|362,727|3.06|-1.28|-4.93|2.27|0.25|2019-03-15 00:51:53
31 Dec 2012| : 6912WA|PASDEC-WA|161,975|38,134|25,185|8,757|15,648|15,133|73,732|224,663|24,087|133,491|24,002|3,894|0|370,445|16.02|2.39|5.41|2.35|0.19|2019-03-15 00:51:53
31 Dec 2013| : 6912WA|PASDEC-WA|132,948|38,354|18,224|13,058|0|18,840|21,571|233,544|17,760|111,370|48,204|5,111|0|343,099|14.21|3.66|9.82|2.98|0.19|2019-03-15 00:51:54
31 Dec 2015| : 0177|PASUKGB|68,109|1,167|1,107|897|0|3,768|595|1,929|2,823|37,882|0|0|0|30,400|1.89|2.99|1.32|1.66|0.24|2019-03-15 00:51:54
31 Dec 2016| : 0177|PASUKGB|60,385|-4,116|-6,826|-6,103|3,100|6,841|840|1,328|2,943|84,666|0|0|0|41,047|-10.75|-17.08|-10.11|1.33|0.15|2019-03-15 00:51:54
31 Dec 2017| : 0177|PASUKGB|36,859|-|-|607|3,100|34,229|104|1,191|23,779|72,868|11,617|0|0|88,167|7.03|-|1.65|1.73|-|2019-03-15 00:51:54
31 Dec 2015| : 5212|PAVREIT|413,932|292,128|267,388|282,337|0|1,360|0|1,237|184,006|115,670|754,333|0|0|3,851,607|76.01|7.37|68.21|1.74|0.16|2019-03-15 00:51:54
31 Dec 2016| : 5212|PAVREIT|459,701|314,774|287,603|312,143|0|1,958|0|1,315|317,071|193,820|1,412,351|0|0|3,920,849|81.18|8.03|67.9|1.86|0.25|2019-03-15 00:51:54
31 Dec 2017| : 5212|PAVREIT|490,001|344,154|312,016|249,447|0|2,129|0|1,554|275,383|177,099|1,462,681|0|0|3,940,277|65.34|6.35|50.91|1.84|0.26|2019-03-15 00:51:54
31 Dec 2015| : 5041|PBA|300,325|106,454|43,889|38,000|0|924,510|7,448|7,690|51,740|148,792|24,835|0|0|753,763|14.91|5.13|12.65|0.83|0.02|2019-03-15 00:51:54
31 Dec 2016| : 5041|PBA|326,698|107,462|53,230|61,764|0|971,193|3,795|8,770|95,028|151,166|40,632|0|0|800,173|16.73|7.95|18.91|1.02|0.04|2019-03-15 00:51:54
31 Dec 2017| : 5041|PBA|312,353|95,184|39,012|37,280|0|1,014,995|2,791|7,423|141,391|170,978|60,121|0|0|824,377|13.11|4.59|11.94|1.17|0.05|2019-03-15 00:51:54
31 Dec 2013| : 1295|PBBANK|-|5,464,766|5,303,578|4,064,683|-|1,302,997|-|-|3.56|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2014| : 1295|PBBANK|-|5,968,323|5,809,274|4,518,830|-|1,475,578|-|-|3.79|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2015| : 1295|PBBANK|-|6,626,218|6,445,102|5,062,152|-|1,422,853|-|-|4.34|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2006| : 129526|PBBANK-C26|-|2,510,877|2,411,473|1,726,688|-|1,198,479|-|-|24.73|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2007| : 129526|PBBANK-C26|-|3,101,379|2,998,258|2,123,915|-|1,178,760|-|-|25.62|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2008| : 129526|PBBANK-C26|-|3,482,853|3,366,731|2,622,660|-|1,011,489|-|-|22.96|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2006| : 129527|PBBANK-C27|-|2,510,877|2,411,473|1,726,688|-|1,198,479|-|-|24.73|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2007| : 129527|PBBANK-C27|-|3,101,379|2,998,258|2,123,915|-|1,178,760|-|-|25.62|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2008| : 129527|PBBANK-C27|-|3,482,853|3,366,731|2,622,660|-|1,011,489|-|-|22.96|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2006| : 129528|PBBANK-C28|-|2,510,877|2,411,473|1,726,688|-|1,198,479|-|-|24.73|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:54
31 Dec 2007| : 129528|PBBANK-C28|-|3,101,379|2,998,258|2,123,915|-|1,178,760|-|-|25.62|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:55
31 Dec 2008| : 129528|PBBANK-C28|-|3,482,853|3,366,731|2,622,660|-|1,011,489|-|-|22.96|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:55
31 Dec 2006| : 129529|PBBANK-C29|-|2,510,877|2,411,473|1,726,688|-|1,198,479|-|-|24.73|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:55
31 Dec 2007| : 129529|PBBANK-C29|-|3,101,379|2,998,258|2,123,915|-|1,178,760|-|-|25.62|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:55
31 Dec 2008| : 129529|PBBANK-C29|-|3,482,853|3,366,731|2,622,660|-|1,011,489|-|-|22.96|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:55
