compCode,Category,Sub_category,crawl_Timestamp
KUCHAI,main,finance,2019-02-26 10:54:15
LPI,main,finance,2019-02-26 10:54:15
MAA,main,finance,2019-02-26 10:54:15
MANULFE,main,finance,2019-02-26 10:54:15
MAYBANK,main,finance,2019-02-26 10:54:15
MBSB,main,finance,2019-02-26 10:54:15
MNRB,main,finance,2019-02-26 10:54:15
MPHBCAP,main,finance,2019-02-26 10:54:15
P&O,main,finance,2019-02-26 10:54:16
PBBANK,main,finance,2019-02-26 10:54:16
RCECAP,main,finance,2019-02-26 10:54:16
RHBBANK,main,finance,2019-02-26 10:54:16
TA,main,finance,2019-02-26 10:54:16
TAKAFUL,main,finance,2019-02-26 10:54:16
TUNEPRO,main,finance,2019-02-26 10:54:16
AMEDIA,main,telcomedia,2019-02-26 10:54:18
AMTEL,main,telcomedia,2019-02-26 10:54:18
ASTRO,main,telcomedia,2019-02-26 10:54:18
AXIATA,main,telcomedia,2019-02-26 10:54:18
BJMEDIA,main,telcomedia,2019-02-26 10:54:18
DIGI,main,telcomedia,2019-02-26 10:54:19
ECOHLDS,main,telcomedia,2019-02-26 10:54:19
GPACKET,main,telcomedia,2019-02-26 10:54:19
GPACKET-WB,main,telcomedia,2019-02-26 10:54:19
MAXIS,main,telcomedia,2019-02-26 10:54:19
MEDIA,main,telcomedia,2019-02-26 10:54:19
MEDIAC,main,telcomedia,2019-02-26 10:54:19
OCK,main,telcomedia,2019-02-26 10:54:19
OCK-WA,main,telcomedia,2019-02-26 10:54:19
PPG,main,telcomedia,2019-02-26 10:54:19
SASBADI,main,telcomedia,2019-02-26 10:54:19
SJC,main,telcomedia,2019-02-26 10:54:19
STAR,main,telcomedia,2019-02-26 10:54:19
TIMECOM,main,telcomedia,2019-02-26 10:54:19
TM,main,telcomedia,2019-02-26 10:54:19
UTUSAN,main,telcomedia,2019-02-26 10:54:19
3A,main,consumer,2019-02-26 10:54:21
AAX,main,consumer,2019-02-26 10:54:21
AAX-WA,main,consumer,2019-02-26 10:54:22
ACOSTEC,main,consumer,2019-02-26 10:54:22
AEON,main,consumer,2019-02-26 10:54:22
AHB,main,consumer,2019-02-26 10:54:23
AHB-WB,main,consumer,2019-02-26 10:54:23
AIRASIA,main,consumer,2019-02-26 10:54:24
AJI,main,consumer,2019-02-26 10:54:24
AMTEK,main,consumer,2019-02-26 10:54:24
AMWAY,main,consumer,2019-02-26 10:54:24
APFT,main,consumer,2019-02-26 10:54:25
APOLLO,main,consumer,2019-02-26 10:54:25
ASB,main,consumer,2019-02-26 10:54:25
ASIABRN,main,consumer,2019-02-26 10:54:25
ASIAFLE,main,consumer,2019-02-26 10:54:25
ATLAN,main,consumer,2019-02-26 10:54:25
